name	interval	overlap_interval_end_reads	span_interval_end_pairs	within_interval	coverage_perc	coverage_mean	coverage_median
eadb8267061ff9013c82e631af6af5d1	0_200	0	6	37	0.99	18.5	18.5
eadb8267061ff9013c82e631af6af5d1	200_400	0	0	40	0.985	20	20
9f457f0b1181f14c6c86734b8cdeaaf0	0_200	0	2	30	0.99	15	15
9f457f0b1181f14c6c86734b8cdeaaf0	200_400	0	0	37	0.98	18.5	18.5
66030a5feda2fae419b466cacfb17c83	0_200	0	1	29	0.99	14.5	14.5
66030a5feda2fae419b466cacfb17c83	200_400	0	0	3	0.525	1.5	1.5
d235f898ae77adbeb475e89cc1935ac7	0_200	0	2	30	0.99	15	15
d235f898ae77adbeb475e89cc1935ac7	200_400	0	0	32	0.975	16	16
ad7015d1699d4585dbc0bbc41862c6be	0_193	0	5	29	0.9585492227979274	15.025906735751295	16
ad7015d1699d4585dbc0bbc41862c6be	193_393	0	0	13	0.94	6.5	6.5
09b097c0b323643de3ce907bcf349986	0_200	0	0	28	0.99	14	14
09b097c0b323643de3ce907bcf349986	200_319	0	0	0	0	0	0
f8413f612161b6c66033bb36cf36bbb8	0_200	0	6	48	0.99	24	24
f8413f612161b6c66033bb36cf36bbb8	200_2838	1	5	41	0.7050796057619408	1.568991660348749	1
f8413f612161b6c66033bb36cf36bbb8	2838_3038	0	0	45	0.985	22.5	22.5
545e1ee5fdbfa4d7a28203025116744b	0_200	0	4	12	0.94	6	6
545e1ee5fdbfa4d7a28203025116744b	200_400	0	0	39	0.985	19.5	19.5
aac6860ed4fe3908a61cbd8ea41df7ff	0_200	0	4	49	0.99	24.5	24.5
aac6860ed4fe3908a61cbd8ea41df7ff	200_7844	0	4	62	0.4208529565672423	0.8110936682365254	0
aac6860ed4fe3908a61cbd8ea41df7ff	7844_8044	0	0	51	0.98	25.5	25.5
49deeb5026cc0690d467d16571934239	0_200	4	1	10	0.915	5.88	7
49deeb5026cc0690d467d16571934239	200_400	0	0	38	0.98	19	19
96632703e0decf0ae8dc4a094f48fe0d	0_200	0	2	41	0.99	20.5	20.5
96632703e0decf0ae8dc4a094f48fe0d	200_2838	1	1	41	0.7050796057619408	1.568991660348749	1
96632703e0decf0ae8dc4a094f48fe0d	2838_3038	0	0	3	0.525	1.5	1.5
961b029c7ca56e22add3009d09728588	0_200	0	1	9	0.915	4.5	4.5
961b029c7ca56e22add3009d09728588	200_400	0	0	3	0.525	1.5	1.5
cc20c7581625a1ff95f4d1475e356563	0_200	0	4	49	0.99	24.5	24.5
cc20c7581625a1ff95f4d1475e356563	200_7847	0	4	62	0.42068785144501114	0.8107754675035962	0
cc20c7581625a1ff95f4d1475e356563	7847_8047	0	0	49	0.975	24.5	24.5
6706b34f3b711760ce52269b490b7bce	0_200	2	1	11	0.915	5.985	6
6706b34f3b711760ce52269b490b7bce	200_400	0	0	34	0.975	17	17
e564400750f12c133e4c5204854b4edf	0_200	0	0	2	0.55	1	1
e564400750f12c133e4c5204854b4edf	200_400	0	0	35	0.985	17.5	17.5
d93923625cb750607089be3211ec64ae	0_188	0	6	40	1	21.27659574468085	21
d93923625cb750607089be3211ec64ae	188_2826	1	5	41	0.7050796057619408	1.568991660348749	1
d93923625cb750607089be3211ec64ae	2826_3026	0	0	14	0.965	7	7
120f5befcf12010c2c4c535c14fa4695	0_60	0	0	0	0	0	0
120f5befcf12010c2c4c535c14fa4695	60_260	0	0	9	0.915	4.5	4.5
aad8c11743a7975dc951ed5947959960	0_200	0	2	47	0.99	23.5	23.5
aad8c11743a7975dc951ed5947959960	200_7844	0	0	60	0.42032967032967034	0.7849293563579278	0
aad8c11743a7975dc951ed5947959960	7844_7963	0	0	1	0.8403361344537815	0.8403361344537815	1
4520837a40791a71118c1613907f2707	0_200	2	0	2	0.55	1.505	1.5
4520837a40791a71118c1613907f2707	200_319	0	0	0	0	0	0
dd63de34c46767f447b72d5ab223df47	0_200	2	0	12	0.94	6.56	6.5
dd63de34c46767f447b72d5ab223df47	200_400	0	0	19	0.955	9.5	9.5
be4d55197c4ba030a95d5c4370f7011f	0_200	0	7	44	0.985	22	22
be4d55197c4ba030a95d5c4370f7011f	200_400	0	0	93	0.965	46.5	46.5
309a190f87dcc1fc9ce15f69aabfe072	0_200	0	0	35	0.925	17.5	17.5
309a190f87dcc1fc9ce15f69aabfe072	200_400	0	0	0	0	0	0
e4512823f5f470872c4f404fc6daf95f	0_130	0	0	0	0	0	0
e4512823f5f470872c4f404fc6daf95f	130_330	0	0	86	0.965	43	43
1768562fab4574da4df7bc9efdb1e52d	0_200	0	0	0	0	0	0
1768562fab4574da4df7bc9efdb1e52d	200_261	0	0	0	0	0	0
eb0f598b0b6e9ed4fcb511895f885586	0_98	0	0	0	0	0	0
eb0f598b0b6e9ed4fcb511895f885586	98_298	0	0	86	0.965	43	43
c635757561fe8bdd24d13996c1b06f55	0_200	0	0	0	0	0	0
c635757561fe8bdd24d13996c1b06f55	200_327	0	0	0	0	0	0
9feb8897efc7240bef4a84ebd877f348	0_200	0	0	0	0	0	0
9feb8897efc7240bef4a84ebd877f348	200_284	0	0	0	0	0	0
44ca850258d4eecf677fa79a836a494f	0_200	0	0	0	0	0	0
44ca850258d4eecf677fa79a836a494f	200_268	0	0	0	0	0	0
